"id","submitdate","lastpage","startlanguage","startdate","datestamp","random","Course[CPlan]","Course[CFam]","Course[CJust]","Marche[MPlan]","Marche[MFam]","Marche[MJust]","age","Genre","CSP","CSP[other]","Diplome","Diplome[other]","CapEco","EnvCS[SQ001]","EnvPSubj[SQ001]","EnvPObj","Engagement","autre"
"428","2025-01-20 20:27:58","4","fr","2025-01-20 20:20:11","2025-01-20 20:27:58","0","71","80","20","","","","37","Homme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","66","100","Grande ville : de 50 000 à 200 000 habitants","9","Basket 1 fois lar semaine
Salle de sport 2 fois par semaine
Vélo taff 3 fois par semaine"
"430","2025-01-20 20:56:52","4","fr","2025-01-20 20:52:25","2025-01-20 20:56:52","0","62","50","86","","","","43","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","","","Petite ville : de 5 000 à 20 000 habitants","2",""
"431","2025-01-20 21:50:42","4","fr","2025-01-20 21:44:38","2025-01-20 21:50:42","0","84","37","60","","","","28","Femme","Professions intermédiaires","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","67","80","Métropole : plus de 200 000 habitants","5",""
"433","2025-01-20 22:26:20","4","fr","2025-01-20 22:21:29","2025-01-20 22:26:20","0","85","90","90","","","","30","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","75","85","Ville moyenne : de 20 000 à 50 000 habitants","5",""
"434","2025-01-20 22:33:33","4","fr","2025-01-20 22:30:49","2025-01-20 22:33:33","1","","","","40","39","70","57","Femme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","30 000 - 60 000€","90","90","Grande ville : de 50 000 à 200 000 habitants","2",""
"435","2025-01-20 22:53:48","4","fr","2025-01-20 22:50:10","2025-01-20 22:53:48","1","","","","50","60","85","49","Femme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","30 000 - 60 000€","60","100","Bourg : de 2 000 à 5 000 habitants","2",""
"436","2025-01-20 23:17:50","4","fr","2025-01-20 23:15:21","2025-01-20 23:17:50","1","","","","100","100","100","38","Homme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","15 000 - 30 000€","83","10","Bourg : de 2 000 à 5 000 habitants","2",""
"441","2025-01-21 07:31:20","4","fr","2025-01-21 07:27:40","2025-01-21 07:31:20","0","50","72","48","","","","65","Femme","Cadres et professions intellectuelles supérieures","","Bac + 4 (Maîtrise)","","30 000 - 60 000€","26","90","Grande ville : de 50 000 à 200 000 habitants","4",""
"444","2025-01-21 08:31:29","4","fr","2025-01-21 08:27:21","2025-01-21 08:31:29","1","","","","100","100","100","48","Femme","Employé(e)s","","Bac + 2 (DEUG, BTS, DUT, DEUST)","","- de 15 000€","85","100","Petite ville : de 5 000 à 20 000 habitants","12",""
"445","2025-01-21 09:19:00","4","fr","2025-01-21 09:16:22","2025-01-21 09:19:00","0","0","0","0","","","","27","Femme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","15 000 - 30 000€","36","100","Métropole : plus de 200 000 habitants","3",""
"448","2025-01-21 11:38:53","4","fr","2025-01-21 11:35:45","2025-01-21 11:38:53","1","","","","80","91","91","37","Femme","Cadres et professions intellectuelles supérieures","","Bac + 8 (Doctorat, habilitation à diriger des recherches)","","+ de 90 000 €","61","81","Petite ville : de 5 000 à 20 000 habitants","2",""
"449","2025-01-21 13:11:33","4","fr","2025-01-21 13:07:08","2025-01-21 13:11:33","0","23","67","90","","","","34","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","67","100","Petite ville : de 5 000 à 20 000 habitants","0","Ancienne gymnaste mais deux enfants en bas âge donc difficulté a dégager du temps actuellement pour maintenir une activité physique régulière."
"450","2025-01-21 13:31:35","4","fr","2025-01-21 13:29:34","2025-01-21 13:31:35","1","","","","100","80","100","45","Femme","Cadres et professions intellectuelles supérieures","","Bac + 3 (Licence, Licence LMD, licence professionnelle, BUT)","","30 000 - 60 000€","75","100","Bourg : de 2 000 à 5 000 habitants","3",""
"452","2025-01-21 15:53:51","4","fr","2025-01-21 15:51:46","2025-01-21 15:53:51","1","","","","80","100","100","27","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","","100","Bourg : de 2 000 à 5 000 habitants","3",""
"454","2025-01-21 18:14:57","4","fr","2025-01-21 18:11:03","2025-01-21 18:14:57","1","","","","13","100","80","72","Homme","Retraité(e)s","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","","90","Ville moyenne : de 20 000 à 50 000 habitants","5",""
"455","2025-01-21 19:08:23","4","fr","2025-01-21 18:58:20","2025-01-21 19:08:23","1","","","","25","57","70","52","Femme","Professions intermédiaires","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","","50","Village : moins de 2 000 habitants","3"," milieu rural. 
saisonnalité importante:
 été: cyclo natation rando jardinage en plein air (printemps été), 
hiver ... long.  Aucune envie de sport en salle... sauf yoga, 20 km."
"456","2025-01-21 20:11:53","4","fr","2025-01-21 20:06:40","2025-01-21 20:11:53","0","60","50","20","","","","52","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","60","90","Grande ville : de 50 000 à 200 000 habitants","2",""
"457","2025-01-21 20:27:18","4","fr","2025-01-21 20:24:03","2025-01-21 20:27:18","0","30","50","17","","","","48","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","15 000 - 30 000€","1","65","Métropole : plus de 200 000 habitants","0",""
"458","2025-01-21 21:35:18","4","fr","2025-01-21 21:30:27","2025-01-21 21:35:18","1","","","","80","80","100","42","Femme","Cadres et professions intellectuelles supérieures","","Bac + 5 (Master, DEA, DESS, diplôme d'ingénieur)","","30 000 - 60 000€","70","50","Village : moins de 2 000 habitants","4","Au minimum 2 sorties de 45 mn de course à pied + 30 mn yoga + 25 mn de renforcement musculaire 
+ Déplacement à pied dès que possible malgré beaucoup de déplacements en voiture (800km par semaine)"
"461","2025-01-22 11:16:02","4","fr","2025-01-22 11:12:25","2025-01-22 11:16:02","0","0","50","0","","","","25","Homme","Autre","sans emploi","Bac + 2 (DEUG, BTS, DUT, DEUST)","","- de 15 000€","15","15","Village : moins de 2 000 habitants","0","J'ai déjà pratiqué la course à pied ainsi que le sport en salle de muscu/fitness mais ma motivation est toujours redescendue à cause de l'ennui. Je pratique volontiers un sport ludique avec des amis (volley/badminton,etc...)"
